@relation 'TT-weka.filters.unsupervised.attribute.Remove-R1-11,13-14,16-20,22-23,25-28,30-33,35-39,41-71,73-86'

@attribute f12 numeric
@attribute f15 numeric
@attribute f21 numeric
@attribute rubine_ShuZhe numeric
@attribute rubine_Gou numeric
@attribute rubine_Shu numeric
@attribute long_ShuZhe numeric
@attribute dollar_ShuZhe numeric
@attribute class {HengZheTi,ShuZhe,ShuZheZheGou,Heng,Ti,HengGou,Gou,HengZhe,ShuWanGou,HengZheWanGou,Dian,Shu,HengPie,Wan,Pie,Na}

@data
1.903416,1.799668,5.530085,0.949142,0.335052,0.890196,0.911659,0.282464,HengZheTi
1.839319,1.853689,5.430022,0.918811,0.386348,0.919724,0.86848,0.322857,HengZheTi
2.123381,1.908041,5.350673,0.972818,0.317122,0.820403,0.964058,0.387245,HengZheTi
1.862783,2.257805,5.645101,0.903492,0.331428,0.842382,0.851553,0.242114,HengZheTi
1.817292,2.309116,5.512828,0.870178,0.369818,0.874153,0.81498,0.370744,HengZheTi
1.845297,2.991697,5.725454,0.846354,0.35067,0.805074,0.826402,0.407746,HengZheTi
1.974331,2.006863,5.703013,0.950334,0.357578,0.831735,0.917326,0.285826,HengZheTi
1.910402,2.226927,5.627526,0.897948,0.346971,0.841119,0.863377,0.439663,HengZheTi
2.028271,2.246838,5.44651,0.944441,0.317516,0.814081,0.911912,0.512161,HengZheTi
2.235398,2.49339,5.377632,0.963431,0.305468,0.783896,0.938176,0.53382,HengZheTi
2.144153,2.413101,5.843072,0.955102,0.302897,0.78173,0.933963,0.496788,HengZheTi
1.946757,2.002512,5.962898,0.961347,0.316011,0.814122,0.924339,0.312854,HengZheTi
2.027402,2.58902,5.367792,0.935369,0.316871,0.810416,0.900776,0.528973,HengZheTi
2.153653,2.518163,5.669406,0.97684,0.309461,0.765503,0.940375,0.47028,HengZheTi
1.95809,1.987058,5.497217,0.93065,0.320042,0.843755,0.901436,0.413179,HengZheTi
1.890518,2.063826,5.477036,0.910213,0.362271,0.868508,0.868753,0.372408,HengZheTi
2.113986,2.909591,5.413165,0.938671,0.305497,0.793666,0.918133,0.530371,HengZheTi
2.136921,2.647507,5.381526,0.942944,0.307033,0.803339,0.917198,0.590283,HengZheTi
2.042686,2.561568,5.618272,0.923501,0.31321,0.795587,0.899888,0.503102,HengZheTi
1.78189,1.935006,5.525421,0.870349,0.473662,0.948573,0.802306,0.117541,HengZheTi
2.172031,1.572606,5.35049,1,0.303103,0.793794,1,0.481348,ShuZhe
2.276716,1.448763,5.40555,1,0.292571,0.737743,1,0.539302,ShuZhe
2.304068,1.48422,5.41499,1,0.275638,0.738295,1,0.618379,ShuZhe
2.220197,1.733768,5.68464,1,0.29615,0.766151,0.994575,0.595042,ShuZhe
2.3343,1.552617,5.612182,1,0.271955,0.736396,1,0.623866,ShuZhe
2.496925,1.490139,5.488993,1,0.277307,0.663206,1,0.888303,ShuZhe
2.293155,1.459224,5.69048,1,0.26281,0.721694,1,0.551833,ShuZhe
2.279979,1.510197,5.610981,1,0.294285,0.742884,1,0.649664,ShuZhe
2.309297,1.666428,5.645182,1,0.331012,0.722205,1,0.728895,ShuZhe
2.435275,1.596819,5.571879,1,0.289373,0.692743,1,0.682802,ShuZhe
2.225037,1.58981,5.476489,1,0.337821,0.759931,1,0.565253,ShuZhe
2.319174,1.628645,5.743355,1,0.295051,0.716881,1,0.59291,ShuZhe
2.575292,1.324693,5.430463,1,0.266137,0.685533,1,0.879301,ShuZhe
2.141827,1.438921,5.563366,1,0.356306,0.829542,1,0.466777,ShuZhe
